TestName,n,p,CPU_time,GPU_Naive_time,GPU_Mont_time,GPU_Barrett_time,GPU_Naive_speedup,GPU_Mont_speedup,GPU_Barrett_speedup,GPU_Naive_correct,GPU_Mont_correct,GPU_Barrett_correct
Small_u32,4,7340033,56633.8,2477.18,1296.86,2046.02,22.8622,43.6699,27.6799,0,1,0
Medium_u32,256,7340033,103.273,2313.92,2618.57,2301.12,0.044631,0.0394385,0.0448793,0,1,0
